chi2cdf table of deg 1
x	chi2cdf(x)	1-chi2cdf(x)
56.95	1.000000e-00	4.474199e-14
56.94	1.000000e-00	4.496403e-14
56.93	1.000000e-00	4.518608e-14
56.92	1.000000e-00	4.540812e-14
56.91	1.000000e-00	4.563017e-14
56.90	1.000000e-00	4.585221e-14
56.89	1.000000e-00	4.607426e-14
56.88	1.000000e-00	4.629630e-14
56.87	1.000000e-00	4.651834e-14
56.86	1.000000e-00	4.685141e-14
56.85	1.000000e-00	4.707346e-14
56.84	1.000000e-00	4.729550e-14
56.83	1.000000e-00	4.751755e-14
56.82	1.000000e-00	4.773959e-14
56.81	1.000000e-00	4.796163e-14
56.80	1.000000e-00	4.829470e-14
56.79	1.000000e-00	4.851675e-14
56.78	1.000000e-00	4.873879e-14
56.77	1.000000e-00	4.896084e-14
56.76	1.000000e-00	4.918288e-14
56.75	1.000000e-00	4.951595e-14
56.74	1.000000e-00	4.973799e-14
56.73	1.000000e-00	4.996004e-14
56.72	1.000000e-00	5.029310e-14
56.71	1.000000e-00	5.051515e-14
56.70	1.000000e-00	5.073719e-14
56.69	1.000000e-00	5.107026e-14
56.68	1.000000e-00	5.129230e-14
56.67	1.000000e-00	5.151435e-14
56.66	1.000000e-00	5.184742e-14
56.65	1.000000e-00	5.206946e-14
56.64	1.000000e-00	5.229150e-14
56.63	1.000000e-00	5.262457e-14
56.62	1.000000e-00	5.284662e-14
56.61	1.000000e-00	5.317968e-14
56.60	1.000000e-00	5.340173e-14
56.59	1.000000e-00	5.373479e-14
56.58	1.000000e-00	5.395684e-14
56.57	1.000000e-00	5.417888e-14
56.56	1.000000e-00	5.451195e-14
56.55	1.000000e-00	5.473400e-14
56.54	1.000000e-00	5.506706e-14
56.53	1.000000e-00	5.540013e-14
56.52	1.000000e-00	5.562217e-14
56.51	1.000000e-00	5.595524e-14
56.50	1.000000e-00	5.617729e-14
56.49	1.000000e-00	5.651035e-14
56.48	1.000000e-00	5.673240e-14
56.47	1.000000e-00	5.706546e-14
56.46	1.000000e-00	5.739853e-14
56.45	1.000000e-00	5.762057e-14
56.44	1.000000e-00	5.795364e-14
56.43	1.000000e-00	5.828671e-14
56.42	1.000000e-00	5.850875e-14
56.41	1.000000e-00	5.884182e-14
56.40	1.000000e-00	5.917489e-14
56.39	1.000000e-00	5.939693e-14
56.38	1.000000e-00	5.973000e-14
56.37	1.000000e-00	6.006307e-14
56.36	1.000000e-00	6.039613e-14
56.35	1.000000e-00	6.061818e-14
56.34	1.000000e-00	6.095124e-14
56.33	1.000000e-00	6.128431e-14
56.32	1.000000e-00	6.161738e-14
56.31	1.000000e-00	6.195044e-14
56.30	1.000000e-00	6.217249e-14
56.29	1.000000e-00	6.250556e-14
56.28	1.000000e-00	6.283862e-14
56.27	1.000000e-00	6.317169e-14
56.26	1.000000e-00	6.350476e-14
56.25	1.000000e-00	6.383782e-14
56.24	1.000000e-00	6.417089e-14
56.23	1.000000e-00	6.450396e-14
56.22	1.000000e-00	6.483702e-14
56.21	1.000000e-00	6.517009e-14
56.20	1.000000e-00	6.550316e-14
56.19	1.000000e-00	6.583623e-14
56.18	1.000000e-00	6.616929e-14
56.17	1.000000e-00	6.650236e-14
56.16	1.000000e-00	6.683543e-14
56.15	1.000000e-00	6.716849e-14
56.14	1.000000e-00	6.750156e-14
56.13	1.000000e-00	6.783463e-14
56.12	1.000000e-00	6.816769e-14
56.11	1.000000e-00	6.850076e-14
56.10	1.000000e-00	6.883383e-14
56.09	1.000000e-00	6.927792e-14
56.08	1.000000e-00	6.961098e-14
56.07	1.000000e-00	6.994405e-14
56.06	1.000000e-00	7.027712e-14
56.05	1.000000e-00	7.061018e-14
56.04	1.000000e-00	7.105427e-14
56.03	1.000000e-00	7.138734e-14
56.02	1.000000e-00	7.172041e-14
56.01	1.000000e-00	7.205347e-14
56.00	1.000000e-00	7.249756e-14
55.99	1.000000e-00	7.283063e-14
55.98	1.000000e-00	7.316370e-14
55.97	1.000000e-00	7.360779e-14
55.96	1.000000e-00	7.394085e-14
55.95	1.000000e-00	7.438494e-14
55.94	1.000000e-00	7.471801e-14
55.93	1.000000e-00	7.505108e-14
55.92	1.000000e-00	7.549517e-14
55.91	1.000000e-00	7.582823e-14
55.90	1.000000e-00	7.627232e-14
55.89	1.000000e-00	7.660539e-14
55.88	1.000000e-00	7.704948e-14
55.87	1.000000e-00	7.738254e-14
55.86	1.000000e-00	7.782663e-14
55.85	1.000000e-00	7.827072e-14
55.84	1.000000e-00	7.860379e-14
55.83	1.000000e-00	7.904788e-14
55.82	1.000000e-00	7.938095e-14
55.81	1.000000e-00	7.982504e-14
55.80	1.000000e-00	8.026912e-14
55.79	1.000000e-00	8.060219e-14
55.78	1.000000e-00	8.104628e-14
