84164	1936
84164	6176
84164	22938
8880	7088
55734	7088
7572	1400
7572	1915
7572	1937
7572	7157
84164	51003
84164	6117
8553	1107
8553	11244
57761	84060
57761	1937
57761	10524
1385	1107
8880	1107
8880	7431
4666	55791
5432	55791
10621	11161
10621	55791
5515	5764
5888	1107
6258	5465
51548	1107
10474	10284
6880	1915
8848	9869
7572	84060
7572	10524
7572	57562
7572	55791
7572	9094
7572	7704
23028	2661
84164	23028
84164	445
84164	2203
84164	23649
84164	29789
467	7157
8553	29117
8553	9869
8553	7431
648	10524
648	55791
57761	10980
57761	2661
57761	28964
57761	9869
57332	1937
57332	10524
57332	11143
57332	9094
1107	10989
1385	7431
1959	51003
2146	23649
8880	1400
10362	7431
3146	55791
3146	9094
3398	55791
3398	9094
4097	1107
4666	60492
4666	84966
4666	11244
5201	51003
5201	28964
5201	9001
5201	57562
5201	55791
5201	6176
5432	11161
5432	1915
5432	6601
5432	8614
10621	10524
10621	8614
10084	51003
10084	1915
5888	7431
6294	1107
6421	7316
257218	55294
51548	7431
6880	84060
23435	9869
23435	11244
7013	28964
7013	5217
7013	11244
7050	51003
7050	1915
51497	9112
11189	7088
7158	22059
10155	1107
55734	9869
55734	9094
7572	333
7572	11161
7572	10980
7572	9001
7572	10813
7572	9869
84878	51003
23028	9869
399	55791
399	10813
84164	81605
84164	55698
84164	2975
84164	65991
84164	10989
84164	4627
84164	5303
84164	64219
84164	26073
84164	6628
84164	79735
9070	9094
467	84966
467	55791
546	54462
546	57562
546	51631
546	5764
546	5775
648	10989
648	57562
648	5764
23774	57562
57332	9001
57332	9869
1316	55937
1316	2975
1316	56902
1316	23649
1385	11161
80237	2495
2033	10980
2146	2975
2146	23588
2146	5303
2314	1743
2290	1937
2290	2661
2804	57562
2804	362598
2804	5217
2962	9638
2962	5764
2965	54462
10014	11337
3146	11161
3146	1400
3609	2661
4097	51003
4097	84060
4097	7431
4171	6191
4300	84060
4300	1915
4300	5764
4300	55791
4331	10980
4331	84060
4331	1915
4331	55791
26292	10980
26292	2661
26292	5764
4666	333
4666	65991
4773	51003
4773	7431
5201	9737
5201	3092
5201	10989
5201	5720
55274	10813
55274	9869
55274	9094
5432	55284
5511	11161
5511	84060
5511	2634
5511	8614
5536	1434
10084	55791
5901	57562
6419	6419
6421	6421
257218	2222
8878	8878
10474	3312
10474	5989
6919	4140
6919	79012
7013	10813
7013	26277
7024	841
7050	55791
51497	3301
51497	2948
51497	79885
11189	55084
114034	6189
114034	6457
10155	6687
10155	7431
9319	1400
9319	9319
8848	333
8848	7786
8848	8848
9839	10980
7568	9001
7553	10474
166	51003
166	6457
23028	10989
23028	60492
23028	9094
84164	51076
84164	10970
84164	10522
84164	60528
84164	11124
84164	2671
84164	57549
84164	4023
84164	26354
84164	5293
23774	7431
23589	8614
865	1114
1523	274
1523	60528
1523	9400
7812	3703
1785	7919
1786	5987
4733	826
1959	54
2146	476
2146	22981
2146	5694
2146	80349
2146	6185
2146	55884
8880	10658
2804	25855
10014	1937
10362	3191
10362	10579
27336	9638
3398	84060
3757	79577
3757	4726
23764	5660
4331	79803
26292	1072
26292	55701
26292	57540
26292	6749
4851	2547
3164	5349
23636	3550
55274	333
10621	112840
10621	8899
5511	1400
5511	9869
10084	11161
5928	2547
7936	9341
6045	8535
8607	57562
10856	2222
9667	1114
22955	22955
6421	51155
9913	5764
10474	8669
6919	84335
6919	79269
6919	85302
6919	80152
6919	22911
6919	54462
6919	6117
6919	6456
6919	30851
6943	333
7013	826
7013	9231
7013	60626
7013	6457
7013	7704
51497	10093
51497	2058
51497	10169
11189	11161
114034	333
114034	84026
114034	7341
8848	10391
8848	60492
23190	10040
55734	11161
7558	9001
9278	56893
80345	54977
92285	60626
166	6354
166	11337
166	6142
399	3757
984	81605
1161	27089
1385	79803
1523	771
1785	54469
1785	51386
1785	23578
1785	5479
2146	6611
55160	8416
55160	10589
55160	362598
55160	3164
55160	6326
2804	858
2804	4694
2804	6515
2804	10490
57670	79577
57670	3960
57670	6648
57670	7704
9516	1312
9516	55698
22823	9737
5201	79953
5201	1667
55629	7704
5434	1114
5455	23645
10084	1212
10084	4218
5901	26012
6045	222019
6258	1114
6258	56902
257218	4026
10847	79065
6749	6092
6827	308
10474	83440
10474	83641
51497	14
51497	284131
51497	84978
114034	160
114034	771
114034	57799
114034	8878
114034	10497
10626	9869
7343	1114
57336	80021
