Gene 1	Gene 2	Reprod BP	Reprod PB	Reprod PP	Literature	PullDown	PullDown Exact	Common baits	Common bait count BP	Common bait count PB	Gene 2 wanted	Prey redund level	Interolog	Mock	Prey PullDown Count	Bait geneid match	Prey geneid match	Bait and Prey geneid match	orf=0	Basic filter	Bait motifs	Prey motifs	Prey motif max	BP MMIs	PB MMIs	PP MMIs
2963	1016	1	0	0			0	2963_all	1	0		1.0		0	0	1	1	1	0	0			0			
2963	81626	1	0	1			0	2963_all,4087_all	1	0		1.0		0	0	1	1	1	0	0			0			
2963	8204	1	0	0			0	2963_all	1	0	TF	1.0		0	0	1	1	1	0	0			0			
2963	2768	1	0	2			0	2963_all,4087_all	1	0		1.0		0	0	1	1	1	0	0			0			
2963	57478	1	0	0			0	2963_all	1	0		1.0		0	0	1	1	1	0	0			0			
2963	9150	1	0	0			0	2963_all	1	0	TF	1.0		0	0	1	1	1	0	0			0			
2963	64423	1	0	0			0	2963_all	1	0		1.0		0	0	1	1	1	0	0			0			
2963	64422	1	0	1			0	2963_all,4087_all	1	0		1.0		0	0	1	1	1	1	1		Autophagy_N	1			
2963	2762	1	0	2			0	2963_all,4087_all,3164_all	1	0		1.0		0	0	1	1	1	0	0			0			
2963	2678009	1	0	0			0	2963_all	1	0		0.0		0	0	1	1	1	0	0			0			
2963	23091	1	0	2			0	2963_all,4087_all,3164_all	1	0	TF	0.0		0	0	1	1	1	1	0			0			
2963	103	1	0	0			0	2963_all	1	0		1.0		0	0	1	1	1	1	0			0			
2963	8697	1	0	0			0	2963_all	1	0		1.0		0	0	1	1	1	1	1			0			
2963	375484	1	0	0			0	2963_all	1	0		1.0		0	0	1	1	1	0	0			0			
2963	32	1	0	0			0	2963_all	1	0		1.0		0	0	1	1	1	0	0			0			
2963	79811	1	0	1			0	2963_all,3164_all	1	0		1.0		0	0	1	1	1	1	0			0			
2963	6505	1	0	1			0	2963_all,3164_all	1	0		1.0		0	0	1	1	1	0	0			0			
2963	5570	1	0	0			0	2963_all	1	0		1.0		0	0	1	1	1	0	0			0			
2963	23061	1	0	0			0	2963_all	1	0		1.0		0	0	1	1	1	1	0			0			
2963	10142	2	0	1			0	2963_all,4087_all	1	0		1.0		0	0	1	2	2	1	0			0			
2963	10411	1	0	0			0	2963_all	1	0		1.0		0	0	1	1	1	0	0			0			
2963	641765	1	0	1			0	2963_all,5881_all	1	0		1.0		0	0	1	1	1	0	0			0			
2963	9738	1	0	0			0	2963_all	1	0		1.0		0	0	1	1	1	0	0			0			
2963	158046	1	0	0			0	2963_all	1	0		1.0		0	0	1	1	1	0	0			0			
2963	3800	1	0	0			0	2963_all	1	0		1.0		0	0	1	1	1	1	0			0			
2963	54882	1	0	0			0	2963_all	1	0		1.0		0	0	1	1	1	0	0			0			
2963	5116	1	0	0			0	2963_all	1	0		1.0		0	0	1	1	1	1	0			0			
2963	8467	1	0	1			0	2963_all,5881_all	1	0	TF	1.0		0	0	1	1	1	1	0			0			
2963	64224	1	0	0			0	2963_all	1	0		0.0		0	0	1	1	1	0	0			0			
2963	9631	1	0	0			0	2963_all	1	0		1.0		0	0	1	1	1	1	0			0			
2963	77531	1	0	0			0	2963_all	1	0		1.0		0	0	1	1	1	0	0			0			
2963	50717	1	0	1			0	2963_all,4087_all	1	0		1.0		0	0	1	1	1	0	0			0			
2963	692223	1	0	0			0	2963_all	1	0		1.0		0	0	1	1	1	0	0			0			
2963	22978	1	0	0			0	2963_all	1	0		1.0		0	0	1	1	1	0	0			0			
2963	25906	1	0	1			0	2963_all,5881_all	1	0		1.0		0	0	1	1	1	1	0			0			
2963	84059	1	0	1			0	2963_all,4087_all	1	0		1.0		0	0	1	1	1	0	0			0			
2963	6208	1	0	1			0	2963_all,4087_all	1	0	RP,RP	1.0		0	0	1	1	1	0	0			0			
2963	91523	1	0	0			0	2963_all	1	0		1.0		0	0	1	1	1	0	0			0			
2963	7343	1	0	1			0	2963_all,3164_all	1	0	TF	1.0		0	0	1	1	1	1	0			0			
2963	55274	1	0	0			0	2963_all	1	0	TF	1.0		0	0	1	1	1	0	0			0			
2963	3684235	1	0	0			0	2963_all	1	0		1.0		0	0	1	1	1	0	0			0			
2963	9743	1	0	0			0	2963_all	1	0		1.0		0	0	1	1	1	1	0			0			
2963	7006	1	0	0			0	2963_all	1	0		0.0		0	0	1	1	1	0	0			0			
2963	255928	1	0	0			0	2963_all	1	0		1.0		0	0	1	1	1	0	0			0			
2963	1620	1	0	1			0	2963_all,3164_all	1	0		1.0		0	0	1	1	1	0	0			0			
2963	1998	1	0	0			0	2963_all	1	0	TF	0.0		0	0	1	1	1	0	0			0			
2963	2678055	1	0	0			0	2963_all	1	0		1.0		0	0	1	1	1	0	0			0			
2963	201163	1	0	0			0	2963_all	1	0		1.0		0	0	1	1	1	1	0			0			
2963	56479	1	0	0			0	2963_all	1	0		1.0		0	0	1	1	1	0	0			0			
2963	83478	1	0	0			0	2963_all	1	0		1.0		0	0	1	1	1	0	0			0			
2963	22883	1	0	5			0	2963_all,4087_all,5881_all,3164_all	1	0		1.0		0	0	1	1	1	1	1			0			
2963	5799	1	0	0			0	2963_all	1	0		1.0		0	0	1	1	1	0	0			0			
2963	2863	1	0	1			0	2963_all,4087_all	1	0		1.0		0	0	1	1	1	0	0			0			
2963	23185	1	0	0			0	2963_all	1	0		1.0		0	0	1	1	1	0	0			0			
2963	18705	1	0	0			0	2963_all	1	0		1.0		0	0	1	1	1	0	0			0			
2963	56659	1	0	0			0	2963_all	1	0		1.0		0	0	1	1	1	0	0			0			
2963	79096	1	0	2			0	2963_all,4087_all,3164_all	1	0		0.0		0	0	1	1	1	0	0			0			
2963	139562	1	0	0			0	2963_all	1	0		1.0		0	0	1	1	1	0	0			0			
2963	23635	1	0	0			0	2963_all	1	0	TF	1.0		0	0	1	1	1	0	0			0			
