GO:0000075	2	Caenorhabditis elegans
GO:0000075	46	Homo sapiens
GO:0000075	51	Saccharomyces cerevisiae
GO:0000076	1	Drosophila melanogaster
GO:0000076	4	Homo sapiens
GO:0000076	5	Saccharomyces cerevisiae
GO:0000077	13	Saccharomyces cerevisiae
GO:0000077	18	Homo sapiens
GO:0000077	2	Caenorhabditis elegans
GO:0000077	5	Drosophila melanogaster
GO:0000078	2	Saccharomyces cerevisiae
GO:0000079	14	Saccharomyces cerevisiae
GO:0000079	2	Caenorhabditis elegans
GO:0000079	2	Plasmodium falciparum
GO:0000079	41	Homo sapiens
GO:0000079	5	Drosophila melanogaster
GO:0000080	19	Homo sapiens
GO:0000080	1	Caenorhabditis elegans
GO:0000080	1	Drosophila melanogaster
GO:0000080	25	Saccharomyces cerevisiae
GO:0000082	12	Drosophila melanogaster
GO:0000082	1	Caenorhabditis elegans
GO:0000082	1	Plasmodium falciparum
GO:0000082	21	Homo sapiens
GO:0000082	46	Saccharomyces cerevisiae
GO:0000083	12	Saccharomyces cerevisiae
GO:0000083	1	Drosophila melanogaster
GO:0000083	1	Homo sapiens
GO:0000084	3	Caenorhabditis elegans
GO:0000084	3	Drosophila melanogaster
GO:0000084	8	Saccharomyces cerevisiae
GO:0000084	9	Homo sapiens
GO:0000085	1	Drosophila melanogaster
GO:0000085	1	Saccharomyces cerevisiae
GO:0000085	4	Homo sapiens
GO:0000086	10	Homo sapiens
GO:0000086	26	Saccharomyces cerevisiae
GO:0000086	8	Drosophila melanogaster
GO:0000087	123	Saccharomyces cerevisiae
GO:0000087	179	Homo sapiens
GO:0000087	24	Caenorhabditis elegans
GO:0000087	262	Drosophila melanogaster
GO:0000087	7	Plasmodium falciparum
GO:0000089	1	Drosophila melanogaster
GO:0000089	2	Homo sapiens
GO:0000090	10	Drosophila melanogaster
GO:0000090	5	Homo sapiens
GO:0000090	6	Saccharomyces cerevisiae
GO:0000092	1	Drosophila melanogaster
GO:0000092	5	Saccharomyces cerevisiae
GO:0000093	1	Homo sapiens
GO:0000095	2	Saccharomyces cerevisiae
GO:0000096	24	Homo sapiens
GO:0000096	2	Plasmodium falciparum
GO:0000096	32	Saccharomyces cerevisiae
GO:0000096	9	Caenorhabditis elegans
GO:0000096	9	Drosophila melanogaster
GO:0000097	10	Saccharomyces cerevisiae
GO:0000097	14	Homo sapiens
GO:0000097	4	Drosophila melanogaster
GO:0000097	6	Caenorhabditis elegans
GO:0000098	1	Drosophila melanogaster
GO:0000098	1	Homo sapiens
GO:0000099	1	Drosophila melanogaster
GO:0000099	4	Homo sapiens
GO:0000099	6	Saccharomyces cerevisiae
GO:0000100	1	Saccharomyces cerevisiae
GO:0000101	1	Drosophila melanogaster
GO:0000101	2	Homo sapiens
GO:0000101	5	Saccharomyces cerevisiae
GO:0000102	1	Saccharomyces cerevisiae
GO:0000103	10	Saccharomyces cerevisiae
GO:0000103	1	Caenorhabditis elegans
GO:0000103	1	Drosophila melanogaster
GO:0000103	2	Homo sapiens
GO:0000104	1	Plasmodium falciparum
GO:0000104	2	Caenorhabditis elegans
GO:0000104	5	Drosophila melanogaster
GO:0000104	8	Homo sapiens
GO:0000105	14	Saccharomyces cerevisiae
GO:0000105	1	Homo sapiens
GO:0000105	1	Plasmodium falciparum
GO:0000107	1	Saccharomyces cerevisiae
GO:0000108	1	Plasmodium falciparum
GO:0000108	4	Saccharomyces cerevisiae
GO:0000109	20	Saccharomyces cerevisiae
GO:0000109	2	Plasmodium falciparum
GO:0000109	3	Drosophila melanogaster
GO:0000109	4	Homo sapiens
GO:0000110	3	Saccharomyces cerevisiae
GO:0000111	2	Saccharomyces cerevisiae
GO:0000112	7	Saccharomyces cerevisiae
GO:0000113	4	Saccharomyces cerevisiae
GO:0000114	14	Saccharomyces cerevisiae
GO:0000114	1	Homo sapiens
GO:0000115	1	Homo sapiens
GO:0000116	1	Saccharomyces cerevisiae
GO:0000117	1	Saccharomyces cerevisiae
GO:0000118	20	Homo sapiens
GO:0000118	23	Saccharomyces cerevisiae
GO:0000118	2	Plasmodium falciparum
GO:0000118	7	Drosophila melanogaster
GO:0000118	8	Caenorhabditis elegans
GO:0000119	1	Caenorhabditis elegans
GO:0000119	1	Plasmodium falciparum
GO:0000119	20	Saccharomyces cerevisiae
GO:0000119	22	Homo sapiens
GO:0000119	29	Drosophila melanogaster
GO:0000120	1	Homo sapiens
GO:0000120	9	Saccharomyces cerevisiae
GO:0000121	2	Saccharomyces cerevisiae
GO:0000122	1	Plasmodium falciparum
GO:0000122	46	Saccharomyces cerevisiae
GO:0000122	53	Drosophila melanogaster
GO:0000122	6	Caenorhabditis elegans
GO:0000122	76	Homo sapiens
GO:0000123	13	Drosophila melanogaster
GO:0000123	1	Caenorhabditis elegans
GO:0000123	40	Saccharomyces cerevisiae
GO:0000123	7	Homo sapiens
GO:0000124	19	Saccharomyces cerevisiae
GO:0000124	7	Drosophila melanogaster
GO:0000125	1	Homo sapiens
GO:0000126	1	Homo sapiens
GO:0000126	2	Plasmodium falciparum
GO:0000126	3	Drosophila melanogaster
GO:0000126	3	Saccharomyces cerevisiae
GO:0000127	5	Homo sapiens
GO:0000127	6	Saccharomyces cerevisiae
GO:0000128	9	Saccharomyces cerevisiae
GO:0000131	35	Saccharomyces cerevisiae
GO:0000132	1	Drosophila melanogaster
GO:0000132	1	Homo sapiens
GO:0000132	24	Caenorhabditis elegans
GO:0000132	9	Saccharomyces cerevisiae
GO:0000133	1	Homo sapiens
GO:0000133	5	Saccharomyces cerevisiae
GO:0000135	4	Saccharomyces cerevisiae
GO:0000136	6	Saccharomyces cerevisiae
GO:0000137	10	Saccharomyces cerevisiae
GO:0000137	1	Drosophila melanogaster
GO:0000137	1	Homo sapiens
GO:0000138	2	Caenorhabditis elegans
GO:0000138	2	Drosophila melanogaster
GO:0000138	2	Homo sapiens
GO:0000138	3	Saccharomyces cerevisiae
GO:0000139	157	Homo sapiens
GO:0000139	24	Caenorhabditis elegans
GO:0000139	24	Drosophila melanogaster
