	Degree	gal1RGexp	gal1RGsig	gal4RGexp	gal4RGsig	gal80Rexp	gal80Rsig
YDR395W	8.0	-0.119	0.021972	0.086	0.5176	-0.214	0.40913	
YDR412W	7.0	0.067	0.27226	-0.641	1.6949E-5	0.991	2.4711E-5	
YDR429C	3.0	0.078	0.072655	-0.209	0.0011724	0.354	1.6643E-5	
YDR461W	3.0	-0.659	2.4721E-10	-0.147	0.011212	-0.526	5.5223E-10	
YEL009C	7.0	0.035	0.33125	0.032	0.41727	-0.031	0.55639	
YEL015W	2.0	0.222	3.0657E-5	-0.171	0.0052925	0.275	0.032829	
YEL039C	1.0	-0.319	2.8783E-6	0.377	7.3568E-7	-1.373	4.9668E-7	
YEL041W	1.0	0.211	4.7824E-4	0.393	3.204E-7	-0.265	0.035715	
YER040W	3.0	0.098	0.38375	-0.513	0.010321	0.537	0.0018683	
YER052C	1.0	-0.47	4.7628E-9	-1.321	1.9577E-9	0.579	1.3742E-5	
YER054C	2.0	0.057	0.16958	0.206	6.2032E-4	0.247	0.0043603	
YER056CA	1.0	0.0	0.0	0.0	0.0	0.0	0.0	
YER062C	1.0	-0.486	3.7312E-10	-0.942	1.2051E-8	0.359	5.8643E-6	
YER065C	2.0	0.65	1.8931E-10	0.591	4.8501E-9	1.147	3.4625E-8	
YER074W	1.0	-0.262	1.8517E-5	-0.449	2.1168E-6	-0.051	0.44216	
YER079W	2.0	-0.174	4.1949E-4	-0.267	4.6903E-5	-0.046	0.40867	
YER081W	1.0	-0.568	2.5284E-10	-0.423	3.0368E-5	0.109	0.094304	
YER090W	1.0	-0.067	0.079619	-0.38	1.9673E-5	0.231	0.0015768	
YER102W	2.0	-0.249	3.2712E-5	-0.364	3.6609E-6	-0.135	0.017595	
YER103W	2.0	-0.405	1.2362E-4	0.176	0.013281	-0.826	8.3702E-13	
YER110C	2.0	0.05	0.26052	-0.233	2.9645E-4	0.43	3.6344E-7	
YER111C	2.0	0.195	5.6134E-4	-0.105	0.33211	0.16	0.15558	
YER112W	2.0	0.193	7.0527E-5	-0.181	0.0037591	0.151	0.13653	
YER116C	1.0	0.029	0.56099	-0.11	0.18379	0.182	0.13915	
YER124C	1.0	0.179	1.8529E-4	0.126	0.014038	-0.022	0.76846	
YER133W	6.0	0.051	0.20733	-0.085	0.063996	-0.051	0.36616	
YER143W	2.0	0.282	5.6125E-6	0.255	8.6796E-6	0.179	0.018361	
YER145C	1.0	0.647	6.6247E-9	-0.78	6.332E-5	0.868	5.9656E-7	
YER179W	3.0	-0.219	1.1807E-4	0.059	0.36733	-0.167	0.13801	
YFL017C	5.0	0.131	0.0017854	0.122	0.0055302	0.124	0.050323	
YFL026W	3.0	-0.653	1.3644E-10	-0.396	4.1738E-6	-0.74	2.884E-14	
YFL038C	1.0	0.075	0.056883	-0.033	0.44841	0.12	0.073548	
YFL039C	3.0	-0.16	3.2175E-4	0.192	1.31E-4	-0.527	6.0582E-12	
YFR014C	1.0	0.229	1.1443E-5	0.304	8.1743E-6	0.047	0.64057	
YFR034C	2.0	0.121	0.099513	-0.336	6.9671E-4	0.348	0.020802	
YFR037C	1.0	0.297	1.5078E-6	-0.226	0.013849	0.35	0.0035541	
YGL008C	2.0	-0.352	1.0007E-5	-0.282	7.1366E-4	-0.573	1.2622E-6	
YGL013C	3.0	0.185	1.959E-4	-0.152	0.013422	0.173	0.0945	
YGL035C	11.0	0.345	1.102E-7	0.31	1.7172E-6	-0.28	0.0070533	
YGL044C	1.0	0.162	0.0013639	-0.211	0.0040902	0.281	0.0057448	
YGL073W	5.0	0.104	0.034847	-0.084	0.42981	0.543	6.2254E-4	
YGL097W	3.0	0.16	0.0021913	-0.23	0.0022461	0.0080	0.93826	
YGL106W	1.0	-0.262	1.3141E-5	-0.327	9.2389E-6	-0.059	0.29618	
YGL115W	2.0	-0.111	0.0058541	0.112	0.011234	-0.221	0.0027535	
YGL122C	3.0	0.174	8.7295E-4	0.02	0.61707	0.187	0.0059966	
YGL134W	2.0	0.138	0.0020577	-0.548	3.6977E-7	0.839	3.7595E-7	
YGL153W	4.0	0.242	1.2953E-4	-0.132	0.077941	0.627	0.0023167	
