	Degree	gal1RGexp	gal1RGsig	gal4RGexp	gal4RGsig	gal80Rexp	gal80Rsig
YPL222W	1.0	0.344	6.9654E-7	0.284	1.3673E-4	0.514	4.6216E-5	
YPL240C	3.0	0.222	1.8582E-5	-0.201	0.0024157	-0.661	6.7688E-11	
YPL248C	11.0	0.1	0.11614	-0.758	1.264E-4	-0.211	0.088214	
YPR010C	1.0	-0.129	0.0032078	-0.394	5.8663E-5	-0.359	0.0061199	
YPR035W	1.0	-0.197	2.3885E-5	-1.06	2.9298E-9	-0.172	0.036009	
YPR041W	2.0	-0.059	0.11203	-0.243	0.0061997	-0.177	0.011738	
YPR048W	3.0	0.113	0.12893	-0.191	0.54556	0.289	0.063048	
YPR062W	1.0	-0.07	0.066907	-0.145	0.006637	-0.071	0.26496	
YPR080W	2.0	-0.138	9.8725E-4	0.0090	0.89728	-0.278	6.7798E-4	
YPR102C	2.0	-0.177	3.7183E-4	-0.38	1.7424E-6	-0.058	0.26052	
YPR110C	1.0	-0.12	0.0019607	-0.339	1.2743E-5	-0.026	0.70564	
YPR113W	1.0	-0.495	1.0456E-9	0.025	0.54593	-0.89	5.6202E-18	
YPR119W	2.0	-0.234	3.9246E-6	-0.279	6.2635E-4	-0.342	1.6424E-5	
YPR124W	1.0	0.76	8.4218E-11	0.469	2.4189E-8	-0.462	8.3821E-6	
YPR145W	1.0	-0.195	3.174E-5	-0.614	1.1525E-7	-0.232	0.0011873	
YPR167C	1.0	-0.066	0.17278	-1.034	1.3067E-6	0.708	5.3086E-4	
