#GeneID Symbol Synonyms
146	ADRA1D	ADRA1|ADRA1A|ADRA1R|ALPHA1|DAR|dJ779E11.2
147	ADRA1B	ADRA1|ALPHA1BAR
148	ADRA1A	ADRA1C|ADRA1L1|ALPHA1AAR
150	ADRA2A	ADRA2|ADRA2R|ADRAR|ALPHA2AAR|ZNF32
151	ADRA2B	ADRA2L1|ADRA2RL1|ADRARL1|ALPHA2BAR
152	ADRA2C	ADRA2L2|ADRA2RL2|ADRARL2|ALPHA2CAR
153	ADRB1	ADRB1R|B1AR|BETA1AR|RHR
154	ADRB2	ADRB2R|ADRBR|B2AR|BAR|BETA2AR
155	ADRB3	BETA3AR
156	ADRBK1	BARK1|BETA-ARK1|GRK2
157	ADRBK2	BARK2|GRK3
158	ADSL	-
159	ADSS	ADEH|MGC20404
160	AP2A1	ADTAA|AP2-ALPHA|CLAPA1
161	AP2A2	ADTAB|CLAPA2|HIP9|HYPJ
162	AP1B1	ADTB1|AP105A|BAM22|CLAPB2
163	AP2B1	ADTB2|AP105B|AP2-BETA|CLAPB1|DKFZp781K0743
164	AP1G1	ADTG|CLAPG1|MGC18255
165	AEBP1	ACLP|FLJ33612
166	AES	AES-1|AES-2|ESP1|GRG|GRG5|TLE5
167	CRISP1	AEGL1|ARP|CRISP-1|HSCRISP1D|HSCRISP1G|HUMARP
169	AF8T	-
170	AFA	-
171	AFD1	AFDN
172	AFG3L1	AFG3|FLJ45200
173	AFM	ALB2|ALBA|ALF|MGC125338|MGC125339
174	AFP	FETA|HPAFP
175	AGA	AGU|ASRG|GA
176	AGC1	CSPG1|CSPGCP|MSK16|SEDK
177	AGER	MGC22357|RAGE
178	AGL	GDE
179	AGMX2	IMD6|XLA2
181	AGRP	AGRT|ART|ASIP2|MGC118963
182	JAG1	AGS|AHD|AWS|CD339|HJ1|JAGL1|MGC104644
183	AGT	ANHU|SERPINA8
185	AGTR1	AG2S|AGTR1A|AGTR1B|AT1|AT1B|AT2R1|AT2R1A|AT2R1B|HAT1R
186	AGTR2	AT2|ATGR2|MRX88
187	AGTRL1	APJ|FLJ90771|MGC45246
189	AGXT	AGT|AGT1|AGXT1|PH1|SPAT|SPT|TLH6
190	NR0B1	AHC|AHCH|AHX|DAX-1|DAX1|DSS|GTD|HHG|NROB1
191	AHCY	SAHH
192	AIC	-
196	AHR	-
197	AHSG	A2HS|AHS|FETUA|HSGA
198	AIED	OA2
199	AIF1	AIF-1|IBA1|IRT-1
201	AIH3	-
202	AIM1	ST4
203	AK1	-
204	AK2	ADK2
205	AK3L1	AK3|AK4
206	AK3P1	-
207	AKT1	MGC99656|PKB|PRKBA|RAC|RAC-ALPHA
208	AKT2	PKBBETA|PRKBB|RAC-BETA
210	ALAD	ALADH|MGC5057|PBGS
211	ALAS1	ALAS|ALAS3|ALASH|MIG4
212	ALAS2	ANH1|ASB|XLSA
213	ALB	DKFZp779N1935|PRO0883|PRO0903|PRO1341
214	ALCAM	CD166|FLJ38514|MEMD|MGC71733
215	ABCD1	ABC42|ALD|ALDP|AMN
216	ALDH1A1	ALDC|ALDH-E1|ALDH1|ALDH11|MGC2318|PUMB1|RALDH1
217	ALDH2	ALDH-E2|ALDHI|ALDM|MGC1806
218	ALDH3A1	ALDH3|ALDHIII|MGC10406
219	ALDH1B1	ALDH5|ALDHX|MGC2230
220	ALDH1A3	ALDH1A6|ALDH6|RALDH3
221	ALDH3B1	ALDH4|ALDH7|FLJ26433
222	ALDH3B2	ALDH8
223	ALDH9A1	ALDH4|ALDH7|ALDH9|E3|TMABADH
224	ALDH3A2	ALDH10|DKFZp686E23276|FALDH|FLJ20851|SLS
225	ABCD2	ABC39|ALDL1|ALDR|ALDRP|hALDR
226	ALDOA	ALDA|MGC10942|MGC17716|MGC17767
228	ALDOAP2	-
229	ALDOB	-
230	ALDOC	ALDC
231	AKR1B1	ADR|ALDR1|AR|MGC1804
232	ALDRL1	-
233	ALDRL2	-
234	ALDRL3	-
235	ALDRL4	-
236	ALDRP	-
238	ALK	CD246|TFG/ALK
239	ALOX12	12-LOX|LOG12
240	ALOX5	5-LO|5LPG|LOG5
241	ALOX5AP	FLAP
242	ALOX12B	12R-LOX
243	ALOX12P1	ALOX12P
244	ANXA8	ANX8|ANXA8L2|FLJ32754|VAC beta
245	ALOX12P2	ALOX12E
246	ALOX15	-
247	ALOX15B	-
248	ALPI	IAP
249	ALPL	AP-TNAP|FLJ40094|HOPS|TNAP|TNSALP
250	ALPP	ALP|PLAP
251	ALPPL2	ALPG|ALPPL|GCAP
253	ALS3	ALS6
255	ALS5	-
257	ALX3	MGC138212|MGC141988
258	AMBN	-
259	AMBP	HCP|ITI|ITIL|UTI
261	AMCN	AMC|AMC1|AMCN1
262	AMD1	ADOMETDC|AMD|DKFZp313L1234|FLJ26964
263	AMDP1	AMD|AMD2
265	AMELX	AIH1|ALGN|AMG|AMGL|AMGX
266	AMELY	AMGL|AMGY
267	AMFR	GP78|RNF45
268	AMH	MIF|MIS
269	AMHR2	AMHR|MISRII
270	AMPD1	MAD|MADA
271	AMPD2	-
272	AMPD3	-
273	AMPH	AMPH1
274	BIN1	AMPH2|AMPHL|DKFZp547F068|MGC10367|SH3P9
275	AMT	GCE|GCST|NKH
276	AMY1A	AMY1|AMY1B
277	AMY1B	AMY1
278	AMY1C	AMY1
279	AMY2A	AMY2|AMY2B|PA
280	AMY2B	AMY2
281	AMYP1	AMY2P
282	ANCR	-
283	ANG	MGC71966|RNASE4|RNASE5
284	ANGPT1	AGP1|AGPT|ANG1
285	ANGPT2	AGPT2|ANG2
286	ANK1	ANK|SPH1|SPH2
287	ANK2	DKFZp686M09125|DKFZp686P0948|FLJ38277|LQT4
288	ANK3	ANKYRIN-G|FLJ45464
289	ANOP1	MCOPS4
